Answer,Answer Match,Attempt #,Attempt End,Attempt Start,Bonus?,Difficulty,FirstName,LastName,Org Defined ID,Out Of,Processed,Q #,Q Text,Q Title,Q Type,Score,Section #,Username
"There are two primary approaches to consider here. One option is to employ AI to give students feedback, though developing an effective AI that accurately assesses varied student responses—not just those matching lecture slides—would be complex and time-intensive. Alternatively, to boost engagement and provide feedback, students could be given either one open-ended question (limited to 100 words) per lecture or a set of 10 multiple-choice questions for grading. This would encourage students to stay engaged, knowing they have an assignment due before the next lecture. Additionally, this method would help them prepare for the final exam by familiarizing them with the types of questions to expect.",,1,28/10/2024 10:24 AM,28/10/2024 8:30 AM,False,1,First name 97,Last name 97,isis$97,1,1,28,"Imagine that you are teaching a university course with many students. You would like all the students to actively engage with the material. But you have only limited time and resources, which means for example that you cannot use forms of examination that require personalized (and thus time-intensive) feedback and grading. Based on the knowledge that you gained during this course, how would you approach this? (All answers that reflect serious engagement with this question will receive a point. Therefore, I suggest that you leave this question for the end!)",Incentives,WR,0,,97
"Framework theories are general, everyday beliefs about how the world operates. Magical contagion is a superstitious concept where events occur outside natural laws and aren't tied to religion. If you believe in this, you'll avoid using items from someone you dislike, fearing it will bring bad luck.",,1,28/10/2024 10:24 AM,28/10/2024 8:30 AM,False,1,First name 97,Last name 97,isis$97,1,1,29,One form of magical contagion is when you prefer not to use things that used to belong to someone that you profoundly dislike. How can you explain this in terms of framework theories for different domains of knowledge?,Magical contagion,WR,0,,97
Learning fuels hindsight bias because it's impossible to ignore new information we've acquired after making a decision when attempting to reassess what might have occurred.,,1,28/10/2024 10:24 AM,28/10/2024 8:30 AM,False,1,First name 97,Last name 97,isis$97,1,1,30,How does learning contribute to hindsight bias?,Hindsight bias and learning,WR,0,,97
"Prospect theory suggests that individuals often downplay the significance of low probabilities. Specifically, they may underestimate moderate low probabilities (like 10%), while viewing extremely low probabilities (such as 0.01%) as effectively impossible, leading them to ignore such risks entirely.",,1,28/10/2024 10:10 AM,28/10/2024 8:30 AM,False,1,First name 30,Last name 30,isis$30,1,1,1,"According to prospect theory, do people over- or underestimate low probabilities? And does this differ between merely low probabilities (e.g. 10%) and extremely low probabilities (e.g. 0.01%)?",Prospect theory and probabilities,WR,0,,30
"Daniel Dennett's levels of analysis suggest that behaviorists should take a physical stance, interpreting observations and ideas based on individuals' physical actions and behaviors.",,1,28/10/2024 10:10 AM,28/10/2024 8:30 AM,False,1,First name 30,Last name 30,isis$30,1,1,2,"Behaviorism was an approach to psychology, mainly popular in the early 20th century, that emphasized that the mind could not be measured, and that psychologists should therefore focus on how stimuli trigger behavior. If you think of this in terms of Daniel Dennet’s stances (or: levels of analysis), which stance did behaviorists adopt, and (briefly) why?",Behaviorism,WR,0,,30
"In prospect theory, loss aversion refers to our inclination to steer clear of financial losses. This theory suggests that we evaluate outcomes based on how they're presented, particularly in terms of losses and gains. Losses feel significantly more painful, making us more driven to prevent them.",,1,28/10/2024 10:10 AM,28/10/2024 8:30 AM,False,1,First name 30,Last name 30,isis$30,1,1,3,"When expressed in terms of utility in prospect theory, what does loss aversion reflect?",Prospect theory and utilities,WR,0,,30
"Kohlberg outlines three stages of moral development. In the pre-conventional stage, individuals lack a sense of reciprocity and only act in their own self-interest. During the conventional stage, people begin to grasp and practice reciprocity, displaying basic moral behavior. Finally, in the post-conventional stage, individuals recognize that morality is universal, though moral principles and instincts can vary among different people.",,1,28/10/2024 10:10 AM,28/10/2024 8:30 AM,False,1,First name 30,Last name 30,isis$30,1,1,4,"According to Kohlberg, what are three levels of moral development? Very briefly describe each level. (Each level is sometimes split up into two stages. You don’t need to describe these stages.)",Kohlberg’s stages,WR,0,,30
"When I pet my cat, it typically purrs every time. The purring happens right when and where I scratch it, not at another time or place. From what I know, scratching is what usually causes cats to purr.",,1,28/10/2024 10:10 AM,28/10/2024 8:30 AM,False,1,First name 30,Last name 30,isis$30,1,1,5,"To judge whether event A causes event B, or merely correlates with event B, we make use of five heuristics, as described in the lecture. What are these heuristics? Provide a very brief explanation of each, illustrating how they apply to events A and B in your explanation.",Causality,WR,0,,30
"A causal model fuels hindsight bias by making us see connections between events. When we think something caused a past event, we assume the same pattern will repeat, leading us to believe we could have predicted and stopped it.",,1,28/10/2024 10:10 AM,28/10/2024 8:30 AM,False,1,First name 30,Last name 30,isis$30,1,1,6,"What is a causal model (of past events), and how does it contribute to hindsight bias?",Hindsight bias and causal models,WR,0,,30
"A delusional conspiracy theory is one that is highly unlikely and rooted in delusion. In contrast, a non-delusional conspiracy theory is based on something that could actually happen.",,1,28/10/2024 10:10 AM,28/10/2024 8:30 AM,False,1,First name 30,Last name 30,isis$30,1,1,7,What distinguishes a delusional conspiracy theory from a non-delusional conspiracy theory?,Delusional conspiracy theories,WR,0,,30
"Conditioning is about learning that two events or stimuli are connected. In classical conditioning, a neutral stimulus becomes tied to a behavior that's typically unrelated. With operant conditioning, a specific action is linked to a resulting reward or punishment.",,1,28/10/2024 10:10 AM,28/10/2024 8:30 AM,False,1,First name 30,Last name 30,isis$30,1,1,8,What is conditioning? And what is the difference between classical and operant conditioning?,Conditioning,WR,0,,30
"Mistakes in initial responses can disrupt learning due to the primacy effect, which means we tend to remember the first information we encounter more vividly. When an incorrect answer is given first, it sticks in our memory more firmly, making it harder to recall the correct answer later.",,1,28/10/2024 10:10 AM,28/10/2024 8:30 AM,False,1,First name 30,Last name 30,isis$30,1,1,9,"If you quiz yourself while preparing for an exam, you are likely to give incorrect answers when you don’t know the material very well yet. And then you learn by seeing the correct answer. Through which psychological mechanism can these incorrect answers interfere with learning?",Learning,WR,0,,30
"Illusory causation happens when someone mistakenly believes there's a cause-and-effect link between two events that are only correlated, creating a false pattern. Meanwhile, an illusory correlation occurs when someone perceives a connection between two unrelated events.",,1,28/10/2024 10:10 AM,28/10/2024 8:30 AM,False,1,First name 30,Last name 30,isis$30,1,1,10,What is the difference between illusory causation and illusory correlation?,Illusory causation and correlation,WR,0,,30
"This model suggests that both systems outline approaches to moral decision-making. System 1, also known as the intuitionist model, depends on quick, automatic, and emotion-driven thinking for moral judgments. System 2, or the rationalist model, involves slower, more deliberate thought processes to reach moral conclusions. Here, System 1 takes the lead because moral judgments stem from intuition, which itself arises from emotions and feelings.",,1,28/10/2024 10:10 AM,28/10/2024 8:30 AM,False,1,First name 30,Last name 30,isis$30,1,1,11,"Although Jonathan Haidt’s social-intuitionist model of moral judgment is not directly phrased in terms of System 1 and System 2, you can easily interpret it that way. According to the social-intuitionist model, what is the role of System 1 and System 2 thinking in moral reasoning? And which System is most dominant according to this model?",System 1 and 2 thinking and social intuitionism,WR,0,,30
"The Dutch healthcare system serves as an example of a schema, as it forms mental connections and provides context for real-world scenarios, guiding appropriate behavior. This schema helps individuals grasp the steps needed to access and use healthcare in the Netherlands. In contrast, knowing how to act at a birthday party illustrates a script—a more specialized type of schema tied to social interactions, like birthdays, which can vary across cultures.",,1,28/10/2024 10:10 AM,28/10/2024 8:30 AM,False,1,First name 30,Last name 30,isis$30,1,1,12,"When people apply for Dutch nationality or a Dutch residence permit, they need to complete a test of Dutch culture as part of the so-called inburgeringsexamen. As part of this test, people are supposed to understand how the Dutch healthcare system works, and how to ‘properly’ behave at a birthday party. Which of these two examples is a schema, and which is a script, and (briefly) why?",Schemas and scripts,WR,0,,30
"The tendency to overestimate moral outrage on social media is partly due to our negativity bias, which makes us more likely to focus on negative content. Since moral outrage messages are filled with negativity, we're naturally drawn to them.",,1,28/10/2024 10:10 AM,28/10/2024 8:30 AM,False,1,First name 30,Last name 30,isis$30,1,1,13,"We tend to overestimate how many people are morally outraged based on what we see on social media. Which two biases primarily contribute to this? Describe them, and explain how they work together to cause this overestimation.",Moral outrage,WR,0,,30
Expected value theory examines financial decision-making when outcomes and probabilities are consistent. Expected utility theory looks at non-financial choices under the same conditions. Multi-attribute theory explores decisions where each option has varying weights and probabilities. Prospect theory analyzes financial decisions while accounting for human biases and mental shortcuts.,,1,28/10/2024 10:10 AM,28/10/2024 8:30 AM,False,1,First name 30,Last name 30,isis$30,1,1,14,"What are the four models of choice, value, and utility that we considered in the lecture? Very briefly explain each model.","Models of choice, value, and utility",WR,0,,30
"Maximizing means aiming for the best possible choice, while satisficing means settling for a choice that's good enough. People with high neuroticism tend to have a maximizing decision style because they often feel stressed and pressured to always pick the perfect option.",,1,28/10/2024 10:10 AM,28/10/2024 8:30 AM,False,1,First name 30,Last name 30,isis$30,1,1,15,"Briefly describe the maximizing and satisficing decision styles. If someone scores high on the neuroticism personality trait, which decision style is he or she most likely to adopt?",Decision styles,WR,0,,30
"Affective forecasting involves predicting our future emotions based on possible upcoming events. Often, we exaggerate the negative emotional impact these events will have on us. This is particularly relevant in end-of-life decisions, as terminally ill individuals may opt for an early death because they overestimate the emotional suffering they expect to experience as their condition worsens.",,1,28/10/2024 10:10 AM,28/10/2024 8:30 AM,False,1,First name 30,Last name 30,isis$30,1,1,16,"What is affective forecasting, and why is it important to consider it in end-of-life decisions?",Affective forecasting,WR,0,,30
"Individuals with major depressive disorder (MDD) tend to exaggerate the probability of negative events occurring because they have an external locus of control. This means they feel that events are beyond their influence, leading them to believe that bad outcomes are more probable.",,1,28/10/2024 10:10 AM,28/10/2024 8:30 AM,False,1,First name 30,Last name 30,isis$30,1,1,17,People often make predictions about how likely it is that something bad will happen to them. Does major depressive disorder make people less accurate at making such predictions?,Major depressive disorder,WR,0,,30
"Hindsight bias is influenced by learning. When a similar event has occurred previously, we become aware of it and gain knowledge from it. This makes us believe the event was predictable and avoidable, assuming we should have applied past lessons.",,1,28/10/2024 10:10 AM,28/10/2024 8:30 AM,False,1,First name 30,Last name 30,isis$30,1,1,18,How does learning contribute to hindsight bias?,Hindsight bias and learning,WR,0,,30
,,1,28/10/2024 10:10 AM,28/10/2024 8:30 AM,False,1,First name 30,Last name 30,isis$30,1,0,19,"During the lecture, we reviewed several cognitive and personality factors that contribute to conspiratorial thinking. Can you name three of these factors?",Factors contribution to conspiracy theory,WR,0,,30
"Impact bias refers to our habit of exaggerating how negatively we'll feel following an event. For instance, individuals in unhappy relationships often stay together because they assume the breakup will devastate them more than it actually does. However, people typically don't feel as distressed afterward as they initially expected.",,1,28/10/2024 10:10 AM,28/10/2024 8:30 AM,False,1,First name 30,Last name 30,isis$30,1,1,20,"What is impact bias? And how could impact bias prevent people from breaking up, even when they are unhappy in their relationship?",Impact bias,WR,0,,30
"Loss aversion refers to our inclination to prevent losing what we have, while risk aversion describes our preference to steer clear of excessive risks to avoid significant losses.",,1,28/10/2024 10:10 AM,28/10/2024 8:30 AM,False,1,First name 30,Last name 30,isis$30,1,1,21,What is the difference between loss aversion and risk aversion?,Loss and risk aversion,WR,0,,30
"This illustrates the representativeness heuristic, which describes how we often assume that something or someone fits into a particular group simply because they appear to match the typical characteristics of that group.",,1,28/10/2024 10:10 AM,28/10/2024 8:30 AM,False,1,First name 30,Last name 30,isis$30,1,1,22,"Imagine that one of your colleagues from the lectures looks like a fashion model. Based on this observation, you assume that he or she probably is a fashion model. Which heuristic underlies this assumption? Briefly explain this heuristic.",Like a fashion model,WR,0,,30
"According to Dennett's levels of analysis, evolutionary psychologists ought to take an evolutionary perspective. This involves basing their observations and ideas on evolutionary benefits and historical patterns.",,1,28/10/2024 10:10 AM,28/10/2024 8:30 AM,False,1,First name 30,Last name 30,isis$30,1,1,23,"Evolutionary psychology, sometimes also called functionalism, is an approach to psychology that considers psychological processes from the perspective of their usefulness in evolutionary terms. For example, ingroup favoritism (our tendency to prefer people from our own group) would be beneficial because it stimulates the emergence of protective communities. If you think of this in terms of Daniel Dennet’s stances (or: levels of analysis), which stance do evolutionary psychologists adopt, and (briefly) why?",Evolutionary psychology,WR,0,,30
"When our senses become less reliable, we rely more on our existing beliefs to interpret what we perceive. If these beliefs dominate our perception, it can result in incorrect stereotypes formed from past experiences and gut feelings, even without solid sensory proof to back them up.",,1,28/10/2024 10:10 AM,28/10/2024 8:30 AM,False,1,First name 30,Last name 30,isis$30,1,1,24,"In the ideal-observer model of perceptual decision making, prior beliefs are combined with sensory evidence to create a perception. That is, what you perceive is a combination of what you expect and the information that reaches your senses. What happens to the influence of prior beliefs on perception when the reliability of sensory information decreases?",Ideal observers,WR,0,,30
,,1,28/10/2024 10:10 AM,28/10/2024 8:30 AM,False,1,First name 30,Last name 30,isis$30,1,0,25,One form of magical contagion is when you prefer not to use things that used to belong to someone that you profoundly dislike. How can you explain this in terms of framework theories for different domains of knowledge?,Magical contagion,WR,0,,30
"Politicians aim to enhance the appeal of their message through repetition, leveraging the recency effect to achieve this. The recency effect describes how people tend to recall the most recent information they've encountered. By continuously repeating their message and ensuring it's widely seen, politicians increase the chances that their message will remain fresh in people's minds over extended periods.",,1,28/10/2024 10:10 AM,28/10/2024 8:30 AM,False,1,First name 30,Last name 30,isis$30,1,1,26,"Politicians often keep repeating the same statements over and over again. In addition to the availability heuristic, through which psychological mechanism do they hope to make their message more attractive by frequently repeating it?",Politicians repeating themselves,WR,0,,30
"From what I've learned in this course, I'd apply the concept of nudges. Nudges gently guide people toward a certain action or decision. For instance, if I assigned my students a writing task, I might ask them to list each group member's contributions and provide a timeline for completing the assignment. This subtle prompt, rooted in libertarian paternalism, encourages students to put in more effort and stay engaged with the course content.",,1,28/10/2024 10:10 AM,28/10/2024 8:30 AM,False,1,First name 30,Last name 30,isis$30,1,1,27,"Imagine that you are teaching a university course with many students. You would like all the students to actively engage with the material. But you have only limited time and resources, which means for example that you cannot use forms of examination that require personalized (and thus time-intensive) feedback and grading. Based on the knowledge that you gained during this course, how would you approach this? (All answers that reflect serious engagement with this question will receive a point. Therefore, I suggest that you leave this question for the end!)",Incentives,WR,0,,30
"Loss aversion refers to our inclination to prevent losses, which influences how risk-averse we are, often making us more cautious and less willing to take risks.",,1,28/10/2024 10:10 AM,28/10/2024 8:30 AM,False,1,First name 30,Last name 30,isis$30,1,1,28,How does loss aversion affect the degree to which people are risk averse?,Risk aversion,WR,0,,30
"The primary distinction between these theories is that expected value theory focuses on how individuals make financial choices involving money, while expected utility theory addresses decisions that don't involve finances. Another key difference is that expected value theory views monetary outcomes in terms of gains and losses, unlike expected utility theory, which deals with non-monetary factors.",,1,28/10/2024 10:10 AM,28/10/2024 8:30 AM,False,1,First name 30,Last name 30,isis$30,1,1,29,What are the two main differences between expected value theory and expected utility theory?,Value and utility,WR,0,,30
"Anchoring involves introducing an initial piece of information, like a price, which then serves as a benchmark for evaluating subsequent details. The primacy effect describes how we tend to recall the first piece of information or impression we receive. Both concepts highlight the significance of the first piece of information, as it is most vividly remembered and influences our judgments and perceptions of things, people, or prices.",,1,28/10/2024 10:10 AM,28/10/2024 8:30 AM,False,1,First name 30,Last name 30,isis$30,1,1,30,"What is anchoring, and what is the primacy effect? And what do they have in common?",Anchoring and primacy,WR,0,,30
"Knowing how the Dutch healthcare system operates is an example of a schema, while knowing how to act at a birthday party is an example of a script. A schema involves understanding the connections between different ideas, while a script is a mental framework for typical social scenarios. A birthday party fits into the category of a common social situation.",,1,28/10/2024 9:56 AM,28/10/2024 8:30 AM,False,1,First name 54,Last name 54,isis$54,1,1,1,"When people apply for Dutch nationality or a Dutch residence permit, they need to complete a test of Dutch culture as part of the so-called inburgeringsexamen. As part of this test, people are supposed to understand how the Dutch healthcare system works, and how to ‘properly’ behave at a birthday party. Which of these two examples is a schema, and which is a script, and (briefly) why?",Schemas and scripts,WR,0,,54
"A delusional conspiracy theory lacks cultural acceptance, while a non-delusional one is widely embraced.",,1,28/10/2024 9:56 AM,28/10/2024 8:30 AM,False,1,First name 54,Last name 54,isis$54,1,1,2,What distinguishes a delusional conspiracy theory from a non-delusional conspiracy theory?,Delusional conspiracy theories,WR,0,,54
"Framework theories are general, everyday understandings of how things function in areas like physics, biology, and psychology. Magical contagion happens when we apply concepts from one field to another. For instance, we take the biological idea that germs spread and mistakenly believe that negative personality traits can be contagious too.",,1,28/10/2024 9:56 AM,28/10/2024 8:30 AM,False,1,First name 54,Last name 54,isis$54,1,1,3,One form of magical contagion is when you prefer not to use things that used to belong to someone that you profoundly dislike. How can you explain this in terms of framework theories for different domains of knowledge?,Magical contagion,WR,0,,54
